x_value,total_1,total_2
0,1000,1000
1,995,999
2,998,996
3,993,994
4,995,990
5,992,985
6,996,982
7,1003,984
8,997,986
9,1005,986
10,1013,992
11,1017,995
12,1021,997
13,1025,994
14,1033,999
15,1038,1002
16,1034,1008
17,1039,1010
18,1033,1016
19,1038,1014
20,1041,1019
21,1044,1023
22,1042,1024
23,1037,1025
24,1042,1027
25,1039,1026
26,1046,1027
27,1051,1023
28,1049,1029
29,1056,1035
30,1052,1031
31,1048,1033
32,1051,1031
33,1054,1030
34,1060,1031
35,1061,1036
36,1056,1037
37,1053,1036
38,1051,1034
39,1059,1035
40,1054,1034
41,1054,1040
42,1054,1035
43,1061,1039
44,1067,1039
45,1070,1036
46,1075,1037
47,1077,1037
48,1071,1033
49,1065,1036
50,1067,1035
51,1067,1041
52,1065,1040
53,1063,1043
54,1071,1045
55,1076,1048
56,1083,1045
57,1087,1045
58,1087,1044
59,1090,1039
60,1097,1038
61,1102,1035
62,1101,1039
63,1103,1035
64,1097,1035
65,1104,1039
66,1103,1036
67,1107,1039
68,1111,1037
69,1118,1042
70,1117,1048
71,1125,1049
72,1120,1046
73,1120,1042
74,1127,1041
75,1122,1047
76,1120,1048
77,1115,1045
78,1116,1040
79,1116,1045
80,1110,1040
81,1117,1037
82,1118,1041
83,1117,1046
84,1123,1041
85,1131,1038
86,1135,1037
87,1130,1034
88,1124,1033
89,1120,1033
90,1124,1037
91,1129,1042
92,1130,1048
93,1136,1049
94,1138,1046
95,1133,1041
96,1134,1040
97,1133,1043
98,1132,1045
99,1137,1045
100,1141,1040
101,1136,1045
102,1135,1042
103,1139,1041
104,1136,1037
105,1136,1039
106,1138,1038
107,1134,1034
108,1137,1033
109,1138,1028
110,1135,1032
111,1129,1032
112,1130,1030
113,1132,1030
114,1131,1036
115,1130,1041
116,1132,1038
117,1137,1039
118,1133,1039
119,1136,1039
120,1139,1043
121,1133,1040
122,1140,1037
123,1147,1035
124,1154,1038
125,1161,1042
126,1167,1042
127,1172,1047
128,1171,1053
129,1171,1055
130,1170,1061
131,1172,1066
132,1173,1067
133,1173,1068
134,1170,1066
135,1170,1063
136,1177,1065
137,1174,1071
138,1173,1074
139,1176,1077
140,1173,1080
141,1167,1081
142,1166,1087
143,1160,1085
144,1162,1088
145,1168,1086
146,1168,1091
147,1172,1091
148,1167,1095
149,1162,1095
150,1166,1095
151,1169,1095
152,1164,1091
153,1166,1091
154,1173,1092
155,1171,1092
156,1170,1097
157,1174,1103
158,1179,1108
159,1174,1113
160,1181,1113
161,1182,1115
162,1189,1120
163,1192,1118
164,1197,1114
165,1202,1120
166,1209,1120
167,1207,1116
168,1207,1120
169,1203,1123
170,1207,1126
171,1211,1128
172,1207,1123
173,1215,1123
174,1217,1122
175,1218,1120
176,1217,1121
177,1220,1118
178,1215,1117
179,1215,1122
180,1220,1123
181,1214,1126
182,1218,1126
183,1218,1124
184,1213,1121
185,1221,1119
186,1226,1116
187,1232,1112
188,1239,1107
189,1246,1107
190,1247,1113
191,1248,1118
192,1253,1120
193,1247,1122
194,1251,1119
195,1256,1116
196,1251,1113
197,1252,1109
198,1258,1108
199,1262,1106
200,1260,1106
201,1259,1103
202,1253,1098
203,1260,1102
204,1268,1097
